Runner 1,Runner 2,Runner 3,Runner 4,Runner 5,Minutes,Time (a.m)
812.52,1236.77,927.23,713.16,1005.72,3,10:33:00
1828.18,2072.54,1926.1,1681.03,2011.44,6,10:36:00
,,,,,9,10:39:00
3666.42,3937.93,3831.01,2363.62,3820.93,12,10:42:00
,5187.53,5014.76,,4855.97,15,10:45:00
5772.51,,5953.5,,,18,10:48:00
6545.18,7031.44,6846.84,,6781.64,21,10:51:00
,,,,,24,10:54:00
7503.11,8102.59,7941.75,,7645.36,27,10:57:00
7960.95,8576.43,8380.58,,8095.47,30,11:00:00
8504.3,8971.54,8734.52,,8609.27,33,11:03:00
8806.78,9362.23,9125.05,,8970.28,36,11:06:00
